
========================================
🚗 MARCA: Alfa Romeo (9 variante de model listate)
========================================
  - Giulia  (21 anunturi)
  - Giulietta  (6 anunturi)
  - Mito  (2 anunturi)
  - Stelvio  (27 anunturi)
  - Stelvio Executive  (1 anunturi)
  - Stelvio First  (1 anunturi)
  - Stelvio Q4  (1 anunturi)
  - Stelvio Super  (4 anunturi)
  - Stelvio Tech  (1 anunturi)

========================================
🚗 MARCA: Audi (132 variante de model listate)
========================================
  - A 7  (1 anunturi)
  - A1  (43 anunturi)
  - A1 Ack  (3 anunturi)
  - A1 Pilot Bluetooth  (1 anunturi)
  - A3  (332 anunturi)
  - A3 -8V  (1 anunturi)
  - A3 -8Y  (2 anunturi)
  - A3 15Tfsi  (1 anunturi)
  - A3 16Tdi  (1 anunturi)
  - A3 3  (1 anunturi)
  - A3 30  (2 anunturi)
  - A3 35  (4 anunturi)
  - A3 40  (1 anunturi)
  - A3 40 E-Tron Sport  (1 anunturi)
  - A3 80 000Km  (1 anunturi)
  - A3 8V  (3 anunturi)
  - A3 8V 18Tfsi  (1 anunturi)
  - A3 Ack  (20 anunturi)
  - A3 Ambiente  (5 anunturi)
  - A3 Attraction  (1 anunturi)
  - A3 Bi-Hi-Fi Bangolufsen  (1 anunturi)
  - A3 Limousine  (2 anunturi)
  - A3 Limuzina  (1 anunturi)
  - A3 Limuzina Eu6  (1 anunturi)
  - A3 Paket Sport 16Tdi  (1 anunturi)
  - A3 Premium  (2 anunturi)
  - A3 S-Tronic  (1 anunturi)
  - A3 Sb  (1 anunturi)
  - A3 Sport  (7 anunturi)
  - A3 Sportsback  (1 anunturi)
  - A3Hi-Fi Bangolufsen  (1 anunturi)
  - A3V8  (1 anunturi)
  - A4  (578 anunturi)
  - A4 - Accept Unele Schimburi  (1 anunturi)
  - A4 -B8  (1 anunturi)
  - A4 -B9  (4 anunturi)
  - A4 2 0  (1 anunturi)
  - A4 30  (8 anunturi)
  - A4 35  (20 anunturi)
  - A4 40  (8 anunturi)
  - A4 40 Sport  (1 anunturi)
  - A4 45  (1 anunturi)
  - A4 All Road  (1 anunturi)
  - A4 Allroad  (49 anunturi)
  - A4 Allroad 20Tdi  (1 anunturi)
  - A4 Allroad Premium  (1 anunturi)
  - A4 Allroad Sport  (3 anunturi)
  - A4 Ambiente  (1 anunturi)
  - A4 Attraction  (3 anunturi)
  - A4 Audi A4 B9  (1 anunturi)
  - A4 B8 - Webasto  (1 anunturi)
  - A4 B85  (1 anunturi)
  - A4 B85 30Tdi  (1 anunturi)
  - A4 B9  (12 anunturi)
  - A4 B9 X190  (1 anunturi)
  - A4 G-Tron  (1 anunturi)
  - A4 Sline  (1 anunturi)
  - A4 Sport  (11 anunturi)
  - A5  (194 anunturi)
  - A5 - 01  (1 anunturi)
  - A5 -F5  (2 anunturi)
  - A5 20Tdi  (1 anunturi)
  - A5 Ack  (38 anunturi)
  - A5 Ack 35  (1 anunturi)
  - A5 Ack 40  (1 anunturi)
  - A5 Black  (1 anunturi)
  - A5 Fabricat In  (1 anunturi)
  - A5 G-Tron  (1 anunturi)
  - A5 Plus  (2 anunturi)
  - A5 Premium  (1 anunturi)
  - A5 Proline  (1 anunturi)
  - A5 Sport  (12 anunturi)
  - A5 Ver-2-0  (1 anunturi)
  - A6  (314 anunturi)
  - A6 -C7  (2 anunturi)
  - A6 -C8  (1 anunturi)
  - A6 20Tdi  (1 anunturi)
  - A6 20Tdi Ultra  (2 anunturi)
  - A6 30D Biturbo Competition  (1 anunturi)
